datasource,value_col,metric_label,parameter,value
nssp,rsv_pct,"RSV ED visit percentage of total ED visits, all ages",enabled,True
nssp,rsv_pct,"RSV ED visit percentage of total ED visits, all ages",uptake,0.185
nssp,rsv_pct,"RSV ED visit percentage of total ED visits, all ages",uptake_source,Scenario parameter. Base case is 100% uptake to isolate timing effects; CDC RSVVaxView and Boundy et al. MMWR 2025 provide empirical uptake anchors for sensitivity analyses.
nssp,rsv_pct,"RSV ED visit percentage of total ED visits, all ages",eligibility_max_age_months,8
nssp,rsv_pct,"RSV ED visit percentage of total ED visits, all ages",eligibility_max_age_months_source,CDC/ACIP infant RSV antibody guidance recommends protection for eligible infants younger than 8 months who are born during or entering their first RSV season.
nssp,rsv_pct,"RSV ED visit percentage of total ED visits, all ages",exposure_censor_age_months,12
nssp,rsv_pct,"RSV ED visit percentage of total ED visits, all ages",exposure_censor_age_months_source,"Analysis target is first-year infant protection. CDC and Moline et al. JAMA Pediatrics 2026 identify the highest RSV burden and prevention impact in infants, especially ages 0-11 months and 0-2 months."
nssp,rsv_pct,"RSV ED visit percentage of total ED visits, all ages",protection_delay_days,6
nssp,rsv_pct,"RSV ED visit percentage of total ED visits, all ages",protection_delay_days_source,DailyMed Beyfortus label: median nirsevimab time to maximum concentration is 6 days.
nssp,rsv_pct,"RSV ED visit percentage of total ED visits, all ages",protection_duration_days,210
nssp,rsv_pct,"RSV ED visit percentage of total ED visits, all ages",protection_duration_days_source,CDC and the Beyfortus label state protection extends through at least 5 months; pivotal efficacy endpoints were evaluated through 150 days. The 180-day and 270-day settings are scenario sensitivities.
nssp,rsv_pct,"RSV ED visit percentage of total ED visits, all ages",efficacy_profile,piecewise_linear
nssp,rsv_pct,"RSV ED visit percentage of total ED visits, all ages",efficacy_profile_source,Binary profile estimates fractional time protected. Optional piecewise_linear profile uses a smoothed Moline et al. JAMA Pediatrics 2026 time-since-dose hospitalization effectiveness curve.
nssp,rsv_pct,"RSV ED visit percentage of total ED visits, all ages",efficacy_curve_points,"{'day': 0, 'efficacy': 0.0},{'day': 6, 'efficacy': 0.936},{'day': 45, 'efficacy': 0.807},{'day': 210, 'efficacy': 0.77}"
nssp,rsv_pct,"RSV ED visit percentage of total ED visits, all ages",efficacy_curve_points_source,Scenario curve. Day 6 uses the Moline et al. JAMA Pediatrics 2026 <30-day hospitalization effectiveness bin after the Beyfortus PK delay; day 45 uses the midpoint of the 30-59 day bin; day 210 uses the end of the observed 130-210 day bin. The curve smooths over non-monotone intermediate bins rather than forcing the 90-129 day point estimate below the later 130-210 day estimate.
nssp,rsv_pct,"RSV ED visit percentage of total ED visits, all ages",first_outpatient_visit_days,"7,14"
nssp,rsv_pct,"RSV ED visit percentage of total ED visits, all ages",first_outpatient_visit_days_source,Scenario parameter. AAP Bright Futures recommends a first-week newborn visit at 3-5 days and routine infancy visits thereafter; 7/14 days are conservative outpatient timing assumptions because CDC notes newborns born during October-March should ideally receive antibody during birth hospitalization or within 1 week after birth.
nssp,rsv_pct,"RSV ED visit percentage of total ED visits, all ages",first_outpatient_visit_probabilities,"0.5,0.5"
nssp,rsv_pct,"RSV ED visit percentage of total ED visits, all ages",first_outpatient_visit_probabilities_source,"Scenario parameter splitting newborns across the modeled first outpatient visit timings. Boundy et al. MMWR 2025 reports 38% of infants receiving nirsevimab in 2023-24 received it within the first week of life, which can inform sensitivity analyses."
nssp,rsv_pct,"RSV ED visit percentage of total ED visits, all ages",well_child_visit_days,"7,14,30.4375,60.875,121.75,182.625"
nssp,rsv_pct,"RSV ED visit percentage of total ED visits, all ages",well_child_visit_days_source,"AAP Bright Futures/AAP Periodicity Schedule recommends infancy preventive visits in the first week, 1 month, 2 months, 4 months, 6 months, 9 months, and 12 months."
nssp,rsv_pct,"RSV ED visit percentage of total ED visits, all ages",birth_weight_scheme,uniform
nssp,rsv_pct,"RSV ED visit percentage of total ED visits, all ages",birth_weight_scheme_source,Base case assumes uniform daily births. The seasonal-national sensitivity uses transparent monthly birth multipliers to test whether mild U.S. birth seasonality changes the window ranking.
nssp,rsv_pct,"RSV ED visit percentage of total ED visits, all ages",birth_month_weight_multipliers,"{1: 0.97, 2: 0.91, 3: 0.99, 4: 0.97, 5: 1.0, 6: 1.0, 7: 1.04, 8: 1.07, 9: 1.06, 10: 1.03, 11: 0.98, 12: 0.98}"
nssp,rsv_pct,"RSV ED visit percentage of total ED visits, all ages",birth_month_weight_multipliers_source,Scenario multipliers for the seasonal-national birth sensitivity. Use CDC WONDER/NCHS Natality state-month births for a future fully empirical state-specific birth-seasonality analysis.
nssp,rsv_pct,"RSV ED visit percentage of total ED visits, all ages",allow_window_start_catchup,False
nssp,rsv_pct,"RSV ED visit percentage of total ED visits, all ages",allow_window_start_catchup_source,Scenario parameter. CDC says eligible infants born outside the seasonal administration window should receive RSV antibody shortly before the RSV season; setting this true approximates a catch-up campaign at window start.
nssp,rsv_pct,"RSV ED visit percentage of total ED visits, all ages",newborn_first_week_dose_probability,0.381
nssp,rsv_pct,"RSV ED visit percentage of total ED visits, all ages",newborn_first_week_dose_probability_source,"Realistic-delivery scenario parameter. Boundy et al. MMWR 2025 reports 38.1% of infants receiving nirsevimab in 2023-24 received it at age 0-6 days, used as a first-week newborn dosing proxy."
nssp,rsv_pct,"RSV ED visit percentage of total ED visits, all ages",routine_visit_on_time_probability,0.59
